head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time,puid_num_responses,num_responses
27,6,28,28,Validation,16.0,3a43681b0a4600dd,1.9049999713897705,0.11299991607666016,1670129282.804,6,<img src='/static/targets/6.JPEG' />,<img src='/static/targets/28.JPEG' />,<img src='/static/targets/27.JPEG' />,<img src='/static/targets/28.JPEG' />,<img src='/static/targets/6.JPEG' />,6.JPEG,28.JPEG,27.JPEG,28.JPEG,6.JPEG,301.1580820083618,2022-12-04T04:48:02.804000,1670128981.645918,15,15
8,1,14,1,Validation,17.0,3a43681b0a4600dd,0.9590001106262208,0.25799989700317383,1670129283.846,14,<img src='/static/targets/1.JPEG' />,<img src='/static/targets/14.JPEG' />,<img src='/static/targets/8.JPEG' />,<img src='/static/targets/1.JPEG' />,<img src='/static/targets/14.JPEG' />,1.JPEG,14.JPEG,8.JPEG,1.JPEG,14.JPEG,302.2000820636749,2022-12-04T04:48:03.846000,1670128981.645918,16,16
7,10,4,4,Validation,18.0,3a43681b0a4600dd,1.565000057220459,0.08699989318847656,1670129285.496,10,<img src='/static/targets/10.jpg' />,<img src='/static/targets/4.JPEG' />,<img src='/static/targets/7.JPEG' />,<img src='/static/targets/4.JPEG' />,<img src='/static/targets/10.jpg' />,10.jpg,4.JPEG,7.JPEG,4.JPEG,10.jpg,303.85008215904236,2022-12-04T04:48:05.496000,1670128981.645918,17,17
3,4,0,4,Validation,19.0,3a43681b0a4600dd,1.2680001258850098,0.14499998092651367,1670129286.909,0,<img src='/static/targets/4.JPEG' />,<img src='/static/targets/0.JPEG' />,<img src='/static/targets/3.JPEG' />,<img src='/static/targets/4.JPEG' />,<img src='/static/targets/0.JPEG' />,4.JPEG,0.JPEG,3.JPEG,4.JPEG,0.JPEG,305.2630820274353,2022-12-04T04:48:06.909000,1670128981.645918,18,18
5,13,6,13,Validation,20.0,3a43681b0a4600dd,2.077000141143799,0.11500000953674316,1670129289.188,6,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/6.JPEG' />,<img src='/static/targets/5.JPEG' />,<img src='/static/targets/13.JPEG' />,<img src='/static/targets/6.JPEG' />,13.JPEG,6.JPEG,5.JPEG,13.JPEG,6.JPEG,307.5420820713043,2022-12-04T04:48:09.188000,1670128981.645918,19,19
14,23,6,6,Validation,21.0,3a43681b0a4600dd,2.5860002040863037,0.3409998416900635,1670129292.161,23,<img src='/static/targets/23.JPEG' />,<img src='/static/targets/6.JPEG' />,<img src='/static/targets/14.JPEG' />,<img src='/static/targets/6.JPEG' />,<img src='/static/targets/23.JPEG' />,23.JPEG,6.JPEG,14.JPEG,6.JPEG,23.JPEG,310.5150821208954,2022-12-04T04:48:12.161000,1670128981.645918,20,20
16,17,19,17,Validation,22.0,3a43681b0a4600dd,4.956000089645386,0.2219998836517334,1670129297.291,19,<img src='/static/targets/17.JPEG' />,<img src='/static/targets/19.JPEG' />,<img src='/static/targets/16.JPEG' />,<img src='/static/targets/17.JPEG' />,<img src='/static/targets/19.JPEG' />,17.JPEG,19.JPEG,16.JPEG,17.JPEG,19.JPEG,315.6450819969177,2022-12-04T04:48:17.291000,1670128981.645918,21,21
19,2,28,2,Validation,23.0,3a43681b0a4600dd,1.3569998741149902,0.1940000057220459,1670129298.861,28,<img src='/static/targets/2.JPEG' />,<img src='/static/targets/28.JPEG' />,<img src='/static/targets/19.JPEG' />,<img src='/static/targets/2.JPEG' />,<img src='/static/targets/28.JPEG' />,2.JPEG,28.JPEG,19.JPEG,2.JPEG,28.JPEG,317.2150821685791,2022-12-04T04:48:18.861000,1670128981.645918,22,22
4,11,15,11,Validation,24.0,3a43681b0a4600dd,2.0190000534057617,0.18899989128112793,1670129301.067,15,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/15.jpg' />,<img src='/static/targets/4.JPEG' />,<img src='/static/targets/11.JPEG' />,<img src='/static/targets/15.jpg' />,11.JPEG,15.jpg,4.JPEG,11.JPEG,15.jpg,319.4210820198059,2022-12-04T04:48:21.067000,1670128981.645918,23,23
6,9,7,9,Validation,25.0,3a43681b0a4600dd,2.258000135421753,0.18199992179870603,1670129303.532,7,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/7.JPEG' />,<img src='/static/targets/6.JPEG' />,<img src='/static/targets/9.JPEG' />,<img src='/static/targets/7.JPEG' />,9.JPEG,7.JPEG,6.JPEG,9.JPEG,7.JPEG,321.8860821723938,2022-12-04T04:48:23.532000,1670128981.645918,24,24
