,0,1,2,3,4,5
monkey,0.7922676422018541,0.7802283028558442,2.9584613852346475,-1.3997063335096074,2.3181637110365467,0.3238106105134084
beaver,-0.20512565178693584,2.46038925012876,1.794262190145615,-1.1554506869887888,-0.42350286785526364,0.7880287912020905
bison,0.9065477564294117,0.7569957632940948,1.3976308173169167,-2.2566842467727173,1.6694932189663458,-0.1548669673666286
dromedary,1.4385828015051072,1.3741179075970176,2.621445670823228,-1.2190398002617444,0.9509121669350289,0.2893078318736721
squirrel,0.08871181060814959,3.519104709117793,0.21376127533156908,-1.9732552890628459,0.5767211052394563,0.5557630667216494
hedgehog,0.22510886416584866,2.395205693172708,0.7030190335530694,-1.7964941957657332,-0.2766521852697873,1.0982593027351826
donkey,-1.3026611466259883,2.0185944575996984,0.8928736565060975,-1.9760555679956657,1.9344746108516848,0.06375536425772686
giraffe,0.12411518160992029,1.1925378897471903,1.9086520975059769,-1.9080350588462116,1.3333144705788398,-0.398755516376431
hamster,0.10440166983341788,3.1604589351138386,0.8813073397213848,-1.0955976480232819,-0.44890678313280563,1.116206162838315
deer,-1.2304911089312438,1.5596862800386007,1.5153819341568224,-1.6386947037105533,1.2230679223066026,0.42791937977120964
dog,0.7948402471926905,3.506070551635314,2.503027321009742,0.022984245687379973,1.1893487320965885,1.2862289647669256
polar_bear,-0.013335528928491519,0.7315082771888755,1.8017324348388715,-2.824680917216861,0.5591713856932647,-1.0565311982539254
kangaroo,-0.2933511818398352,1.1632794492915934,1.0945409961207253,-2.5602666055544985,1.3733685204064834,-0.6383384977638497
cat,-2.272780784544694,3.0414741186899628,0.6705129597930921,-1.5546815674939347,1.1815631454148456,0.43849191890834666
cow,-2.3002186188156775,2.303861962647459,2.7748860815819754,-1.2464674444859594,-0.05236626421873827,-0.03981580214180744
rabbit,-1.0966462945171078,3.956560066494831,1.3326103557326061,-0.9135422500954995,-0.208079323020678,0.9114450381974631
llama,0.6625373053677692,1.6940597669388342,1.5777556739930625,-1.7778396853575509,1.0351988156306458,0.06681605307888078
lion,0.6843843977486592,1.59360005575932,3.3334605428659407,-1.946455622292651,0.32673600276182957,-1.005659105609182
mouse,-1.473710567293872,3.244830620943428,0.7184468149020382,-1.677595775035227,-1.0179559730553909,0.7965236694269126
rhinoceros,1.4219351614040943,1.0049364854982548,2.082743827252906,-2.233335943256708,0.6747142563740982,-0.4155620997269392
hippopotamus,1.268379196317541,0.554899426002598,2.2508824618042,-2.332794162827116,0.8019877826081446,-0.38193689977864254
elephant,1.7043557040518547,0.5691557530751877,2.118841507304096,-2.4816737096787724,1.4167872411514808,-0.35748459695429236
horse,-0.9075749009074673,2.223479768951348,1.4250610893476812,-1.2965103187866949,3.0353477137386733,0.5239578895943288
sheep,-1.7511131813210206,1.9197345661462022,2.428526949556084,-0.7795302008035988,0.9738255420441908,0.9581962691457425
tiger,0.22678529583686183,1.1079015386923945,3.290522811831282,-2.05170343809332,0.3873827807867819,-0.9285757110487799
pig,-1.1267789309670686,1.3361095330858044,3.0675586886917934,-0.47184587903296743,0.8744463698970084,1.7519141839168855
bat,-0.12954394464490865,1.3455971320240212,0.024830252437147655,-2.510407820973231,1.1350976530984878,0.7879319958611962
fox,-0.8225744905604487,2.4374753773757907,1.351987078803288,-1.9288374959451915,0.3878969959743691,-0.07494758486699174
wolf,-0.6566439834209596,1.7059187459199505,2.360912397546399,-1.8016926207863087,0.2942549805443146,-0.40663645216857014
