Item,pos_weight
blows_up_its_cheeks,27.666666666666668
brays,85.0
can_be_cured,27.666666666666668
can_climb_up_a_wall,4.375
comes_up_to_the_surface_for_air,11.285714285714286
does_not_lay_eggs,2.185185185185185
eats_acorns,27.666666666666668
eats_chicken,16.2
eats_people,13.333333333333334
especially_lives_at_the_coast,42.0
family_of_the_camel,85.0
flat_tail,85.0
fragile,0.8695652173913043
has_beady_eyes,42.0
has_poison_fangs,42.0
is_aggressive,6.166666666666667
is_bluish_grey,27.666666666666668
is_first_a_tadpole,85.0
is_friendly,4.0588235294117645
is_good_for_the_environment,27.666666666666668
is_hermaphrodite,85.0
is_white/brown,7.6
likes_to_eat_carrots,13.333333333333334
lives_in_families,3.7777777777777777
lives_in_the_open_air,0.8695652173913043
lives_outdoors,0.8695652173913043
looks_like_a_crocodile,27.666666666666668
lots_of_hair,3.7777777777777777
mothballs_as_a_remedy,85.0
moves_by_contracting,27.666666666666668
runs_in_a_mill,42.0
savanne,4.375
sits_on_fruit,27.666666666666668
small_cows_are_calfs,85.0
smells_blood,42.0
some_people_are_allergic_to_it,1.3888888888888888
the_legs_are_eaten,85.0
can_be_found_in_the_ardennes,1.9655172413793103
chews_the_cud,20.5
climbs_in_trees,6.818181818181818
comes_to_the_surface_when_it_rains,20.5
eats_cheese,20.5
has_a_large_tail,6.166666666666667
has_a_long_nose_in_the_shape_of_a_sword,42.0
has_a_small_head,2.739130434782609
has_ribs,42.0
indians_hunted_it,16.2
is_a_type_of_beetle,85.0
is_an_exotic_animal,3.3
is_athrodopal,6.166666666666667
is_eaten_on_festive_dinners,13.333333333333334
is_expensive,16.2
is_food_for_larger_animals,2.0714285714285716
is_found_in_warm_places,0.9545454545454546
is_red_or_black,85.0
is_scary,85.0
is_very_active,4.733333333333333
lays_eggs_in_sand,11.285714285714286
lies_on_the_sea-floor,85.0
lives_in_a_swamp,8.555555555555555
makes_a_recognizable_sound,4.0588235294117645
protected_species,4.375
seems_mean,4.733333333333333
stands_in_the_stable,16.2
takes_good_care_of_her_children,6.818181818181818
typical_ennemy_of_a_cat,42.0
used_in_research,13.333333333333334
becomes_a_butterfly,85.0
carries_over_diseases,8.555555555555555
drinks_water,0.8695652173913043
eats_flies,8.555555555555555
eats_nectar,42.0
has_a_pointed_snout,5.615384615384615
has_a_rough_skin,7.6
has_a_woollen_fur,42.0
has_bright_colours,5.615384615384615
has_two_ears,1.0
has_young_=_cubs,27.666666666666668
howls,85.0
is_eaten_by_other_animals,0.8695652173913043
is_found_in_Belgium,0.8695652173913043
is_found_on_animals,0.8695652173913043
is_served_in_a_restaurant,5.142857142857143
large_nostrils,6.166666666666667
lazy,6.166666666666667
lives_in_a_hive,85.0
lives_in_the_polar_regions,20.5
lives_nearby_ponds,20.5
looks_like_a_lizard,20.5
moos,85.0
produces_blub-sound,42.0
says_heehaw,85.0
swallows_its_prey_in_its_entirety,27.666666666666668
waddles,42.0
can_become_pest,4.375
can_loose_its_tail,16.2
catches_mice,20.5
difficult_to_exterminate,13.333333333333334
doesn't_sting,0.9111111111111111
extracts_nectar_from_flowers,42.0
has_a_beautiful_tail,20.5
has_a_red_dewlap,85.0
has_eight_arms,85.0
hides_easily,3.3
intelligent,16.2
is_afraid_of_people,5.142857142857143
is_good_at_diving,16.2
"is_grey,_black_and_white",11.285714285714286
leaves_stings,9.75
often_sits_in_parks,2.3076923076923075
often_sits_still,8.555555555555555
prey,0.8695652173913043
produces_nits,85.0
stubborn,16.2
swims_in_rivers,9.75
the_male_occurs_in_different_colours,20.5
wakes_up,85.0
can_be_caught,0.8695652173913043
can_be_won_at_a_fair,85.0
can_cause_much_hinder,2.185185185185185
can_purr,27.666666666666668
exists_for_ages,0.8695652173913043
family_of_the_horse,27.666666666666668
has_an_airhole,42.0
has_an_udder,27.666666666666668
is_a_carnivore_and_herbivore,20.5
is_bigger_than_a_chicken,2.185185185185185
is_lethal,8.555555555555555
is_round,27.666666666666668
is_silvery,27.666666666666668
is_used_on_pizza's,42.0
lives_in_caves,11.285714285714286
lives_in_the_dark,11.285714285714286
lives_in_tropical_waters,27.666666666666668
lives_on_the_north_pole,16.2
loyal,27.666666666666668
roar,27.666666666666668
appears_in_songs,4.375
builds_dams,85.0
can_be_trained,8.555555555555555
can_climb_well,6.818181818181818
can_see_in_the_dark,3.526315789473684
doesn't_live_on_land,27.666666666666668
eats_nuts,16.2
gets_lambs,85.0
has_camouflage,4.0588235294117645
has_long_hind_legs,8.555555555555555
is_found_in_advertising_or_as_brand_,4.0588235294117645
is_not_eaten,0.8695652173913043
is_vermin,8.555555555555555
is_yellow_with_brown_spots,85.0
live_in_the_mountains,4.0588235294117645
lives_in_America,0.8695652173913043
lives_in_unhygienic_places,16.2
