,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
airplane,-0.44950808977649276,-1.389509656919272,9.404080835246347,3.3283937214776365,8.4525916415167,-4.583571452296113,-5.581162543399765,-5.1494271108872,-7.141031730559694,2.735857895208173,2.024262257167854,-4.685625305342796,-3.6249752094784657,6.454449895802393,2.6383028031604403,-2.357204858914331,1.7014441569711114,6.690070759471125,-5.0010713051426094,1.1826387700046999,-2.3442616063149138,0.8101931167741846,13.677636641659,8.78262735204665,-4.632781161572894,-5.4059734113768325,1.1332921423825442,5.818664021561299,-0.6333615540733286,-1.4273960071672738,5.425806565006318,2.085944405652518,2.7778229839097053,9.729198067004036,-0.790134363477349,-0.0870803377817454,-2.885291486039955,5.001192156762789,8.801975831705835,-0.264218041486371
alligator,0.00033355002499494606,0.9577314614360056,7.950511930129143,2.1600471007649706,4.115699959049287,-4.335412939495585,-4.999340018397425,-0.408857625810554,5.592420759411658,-2.384984746195867,-1.1185187977518534,1.2212346595232149,2.921478370930122,2.025622849547135,4.014749603544933,-2.6562715366627794,2.199056293850441,3.6203713837249247,5.878086622989528,8.659405158133968,-1.211455083931237,1.3654061152693666,1.0170399213910082,0.7804385896070988,0.05359916390105479,3.9298096175706254,-6.365426393019531,0.3682645112961471,-4.965096938002313,-2.501140668902565,3.05282672442804,-1.6969359643599722,0.4936907700971932,3.710683896648048,5.945039492208954,0.20313258094774927,1.2117422665872553,4.00905686697162,3.6695904402490775,-0.011048747422247748
ant,-0.14850357225144933,2.026132167281581,0.3680236253073614,-1.6389049679334242,0.8066258523816755,-0.8809156529995305,0.6070153866671176,-2.8156692615030243,-2.241153156775801,2.057489878942583,-0.07939918795693768,3.511386088595731,1.6587984619597052,1.816303437534217,-0.2586598935079653,5.973823920768471,1.773822757617947,2.285706686774259,-3.078496674528612,3.0868118090837156,-0.0568327403689014,4.168217186258925,-5.893644202835424,-1.694163511224314,0.9764581594683666,0.9399606669705255,4.485380133299505,1.421894865499743,-4.36638932250797,-2.588544154266583,3.821377858694035,-2.92412369174112,0.09614954630250568,-0.6118618792658461,-0.6924717327502047,-0.7984165484618055,-3.0450536253153757,-2.9429705615479604,-0.9669900151247582,-2.432475860551753
anvil,4.901245218780468,-0.5758959901555586,0.7813197141846202,2.796947410931812,-1.136073677220466,1.7586820229609255,-0.6171857859409792,1.349871014779779,-1.4848238011752672,-1.1333723391155122,-3.6200363499677004,-0.36984795559463424,5.253670394313537,1.9562103032048155,-1.3049082237716807,-2.3574646884875907,-0.41609945710399304,1.402434778224742,-1.6607093800122086,3.050715138033782,-1.9041466324358485,-3.7909247527939054,5.846377654859812,-1.1007745307025893,3.8473553701182657,1.285404798333572,-0.21994643373410228,-7.524938771216469,0.4318523115442726,-0.27899568408737374,2.317383909757773,0.7653878344395176,-1.5846302328868511,3.460245723309995,-1.5017211918792859,0.7716136753893333,5.410570440179251,0.15583969270914774,5.679167159102193,2.730590376000528
axe,-2.3013765238988944,-1.8503559413072166,0.6372938789268517,1.7515825290239926,-1.0605174249463722,0.7205490645400521,-1.2647619985888463,-0.9720318068710746,-1.7912343894739011,3.9724533765548506,2.5323153946358707,1.1168880876283984,3.949174757968161,1.2777327509940075,0.3922665435390136,2.182297548819719,1.383191137377054,0.6046552099191749,1.0781832005594028,-0.3207064470325957,-1.3295989201619882,0.6610980105578484,0.5281325499948913,1.8407101975463178,-0.19045858278218034,1.615503865786535,3.6053955305185896,2.6325063438369267,-0.9200963989590922,-1.4257113928200957,2.1885430635302363,0.4484647591629998,3.217512089025896,-3.4565462335801826,-3.770494265450521,-0.6034120307655346,-1.1590241185223278,-1.1309605082488212,1.3805244224025561,-2.0364293597863683
beaver,2.4894154573871203,14.705713342653151,-7.359839385311533,-7.611972739818948,0.7597727417850368,-8.258292352880229,13.111509632921363,-6.98802906711629,1.2978369334867652,-10.991311617767572,-15.729184820882656,-10.341996411002892,-15.847297665344206,-9.892341801262791,-0.6156438290212397,-1.6894179823528745,-9.742451429557436,5.559893686342935,-3.9605039273151372,0.17701333183255738,11.751685333859053,-8.096732676414552,3.3167005223583694,1.7599352714735557,-4.9807208529883615,-0.43557158923774036,4.981720545763134,-7.467067981747649,7.493946249381882,-1.0376375163674547,10.835175389322705,2.3981891108110274,-17.534716645062844,5.900802418383183,13.006232674333424,4.143791546115939,16.29560632649975,-12.674186790656297,-15.27791473149576,3.6664130477518855
beetle,-1.6262713943068008,1.129528969447034,-4.061156618599767,3.674246030811188,1.5852937704714765,-2.543074052637752,2.693750236500599,3.3699621348153634,-4.714216318253213,7.320912523442124,0.5965213742577831,-2.009560914033874,0.5593985499536768,1.4514700701920398,1.4993691265160574,1.2848283359426453,-3.5934965896131965,3.0475655907206947,-5.130726749476361,-0.6455136500139201,-2.064896547630103,1.231192209930672,-0.9713074675697219,-4.243427804289126,0.04953142568352781,-2.8243692293628744,-0.8313222810783795,0.2897940180689007,-6.7847155865742605,-4.27111989841207,6.912409253748994,-2.2502560454665432,-2.8349612089666043,0.45482025661174763,4.023485226241391,-3.3485658155079747,-0.39892079199632224,-4.079949255955311,1.4807862637521698,-3.7111626991669864
bicycle,-4.829068216829061,-0.7285409544259445,4.373823715218037,2.3334393104574045,1.8119537811077546,-3.730486159875037,-1.5374686914868378,5.466445915618505,-3.5886885623959777,3.7221718241209394,0.9407793638020582,-0.9243391937352502,4.383050591676769,0.9958013406363758,1.4653262336857282,3.072382187217717,1.153610865455553,0.21756129025023477,-3.28495317307624,1.8522025453991038,3.7214037914811637,3.180400108608348,-4.587530965562177,1.9829394772773048,-0.7031816914736851,1.8283746625621213,-3.67998067814756,2.578461343499848,-2.277563447048415,3.319743892206302,-2.4694194196067905,0.5748447187340551,2.3517776679186317,0.45863060368931957,-1.7294524406286438,-2.226767078109648,2.2911803732214113,1.4429071422517794,3.966171133144167,-1.4462577945299
bison,-0.42358379545507824,3.4470125568355394,-2.6481396612746724,0.4792076900129493,2.2721552926396495,-1.8107649530011376,-0.8246102440986518,-5.130941383157987,-5.950388594719223,-10.970681312365974,-6.527509712761568,0.39525094627115603,0.16326750717611266,-0.25749735044990135,2.734817104062176,-1.7958556445956166,-7.322620502165996,-3.6598067524845477,-0.7034420372989397,-1.3358032033822627,0.5734393794116197,0.8102678714206941,-0.3126082167959654,-1.636031969935215,-4.481307235383688,0.1169389414925106,2.666459701631597,2.167239797345214,4.452411281981133,4.746237094725014,7.345462532617868,-4.014541436092802,-3.4124032507284663,4.9106886498932845,7.0423537255415125,7.272630804491072,-0.23924470433584327,2.5137650202171313,1.636693122368245,-0.2100260215878265
boat,-1.3442374255125997,-0.682409189798205,-0.7445483678694125,-2.1089605503382303,-0.7051815373732053,4.415722667482042,-1.3698228734673126,-1.9352092367735927,-0.5005905929050051,0.3774953953855718,-1.460426554368815,1.9799374171828863,1.1600974463343698,-0.9872030782721237,-1.641260466113763,-2.7577305356891735,0.9176797286013384,0.32933246538724,0.11000950429787096,-1.756890550903013,-0.2690978593167229,0.7593320949772431,-0.8138519875180241,0.6393013627547275,0.2618151553843788,-2.535247663093477,0.27343810885566094,-0.6993362914693443,5.87929005981369,-0.8670497801628829,-0.12122171223427548,-1.7987165081676593,3.350568368806547,-2.095082460105978,-2.5414383045621234,1.123806589330803,0.8484443585205462,-0.8121807129596939,1.699042110459963,-0.37948994091108784
